CompanyCode,Term,Miles,FromMiles,ToMiles,Coverage,State,Class,PlanDeduct,Deduct0,Deduct50,Deduct100,Deduct200,Deduct250,Deduct500,Markup,New/Used,MaxYears,SurchargeCode,PlanCode,RateCardCode,ClassListCode,MinYear,IncScCode,IncScAmt
,12,10000,80001,90000,Elite Plus Used,,F,100,7624.45,5965.91,4946.26,3247.43,,,,,9,,,,,0,,
,12,10000,80001,90000,Elite Plus Used,,G,100,11963.05,9380.03,7791.03,5145.8,,,,,9,,,,,0,,
,12,10000,80001,90000,Elite Plus Used,,H,100,17848.51,14011.52,11649.99,7719.65,,,,,9,,,,,0,,
,12,10000,80001,90000,Elite Plus Used,,A,0,2006.9,,,,,,,,15,,,,,10,,
,12,10000,80001,90000,Elite Plus Used,,B,100,2854.75,2213.76,1818.48,,,,,,15,,,,,10,,
,12,10000,80001,90000,Elite Plus Used,,C,100,3677.99,2860.89,2359.15,,,,,,15,,,,,10,,
,12,10000,80001,90000,Elite Plus Used,,D,100,4513.58,3518.28,2905.94,1886.1,,,,,15,,,,,10,,
,12,10000,80001,90000,Elite Plus Used,,E,100,6676.17,5220.08,4325.14,2832.21,,,,,15,,,,,10,,
,12,10000,80001,90000,Elite Plus Used,,F,100,8547.97,6692.54,5551.86,3651.4,,,,,15,,,,,10,,
,12,10000,80001,90000,Elite Plus Used,,G,100,13401.54,10511.92,8734.35,5775.06,,,,,15,,,,,10,,
,12,10000,80001,90000,Elite Plus Used,,H,100,19985.59,15693.14,13051.34,8654.46,,,,,15,,,,,10,,
,12,10000,90001,100000,Elite Plus Used,,A,0,1878.12,,,,,,,,9,,,,,0,,
,12,10000,90001,100000,Elite Plus Used,,B,100,2676.3,2072.17,1700.54,,,,,,9,,,,,0,,
,12,10000,90001,100000,Elite Plus Used,,C,100,3450.61,2681.76,2209.48,,,,,,9,,,,,0,,
,12,10000,90001,100000,Elite Plus Used,,D,100,4237.8,3300.53,2723.86,1766.45,,,,,9,,,,,0,,
,12,10000,90001,100000,Elite Plus Used,,E,100,6271.62,4902.33,4058.39,2654.32,,,,,9,,,,,0,,
,12,10000,90001,100000,Elite Plus Used,,F,100,8030.83,6286.27,5213.52,3425.0,,,,,9,,,,,0,,
,12,10000,90001,100000,Elite Plus Used,,G,100,12596.41,9879.8,8206.59,5422.22,,,,,9,,,,,0,,
,12,10000,90001,100000,Elite Plus Used,,H,100,18789.43,14751.09,12266.91,8129.71,,,,,9,,,,,0,,
,12,10000,90001,100000,Elite Plus Used,,A,0,2119.52,,,,,,,,15,,,,,10,,
,12,10000,90001,100000,Elite Plus Used,,B,100,3012.43,2336.62,1920.89,,,,,,15,,,,,10,,
,12,10000,90001,100000,Elite Plus Used,,C,100,3878.71,3018.57,2490.2,,,,,,15,,,,,10,,
,12,10000,90001,100000,Elite Plus Used,,D,100,4759.3,3710.77,3065.66,1994.62,,,,,15,,,,,10,,
,12,10000,90001,100000,Elite Plus Used,,E,100,7034.54,5502.7,4558.61,2987.86,,,,,15,,,,,10,,
,12,10000,90001,100000,Elite Plus Used,,F,100,9002.59,7050.94,5850.85,3850.03,,,,,15,,,,,10,,
,12,10000,90001,100000,Elite Plus Used,,G,100,14110.11,11071.0,9199.22,6084.31,,,,,15,,,,,10,,
,12,10000,90001,100000,Elite Plus Used,,H,100,21038.23,16520.53,13741.48,9113.2,,,,,15,,,,,10,,
,12,10000,100001,110000,Elite Plus Used,,A,0,2150.66,,,,,,,,15,,,,,0,,
,12,10000,100001,110000,Elite Plus Used,,B,100,3055.75,2370.73,1949.31,,,,,,15,,,,,0,,
,12,10000,100001,110000,Elite Plus Used,,C,100,3933.89,3062.01,2526.4,,,,,,15,,,,,0,,
,12,10000,100001,110000,Elite Plus Used,,D,100,4826.53,3763.67,3109.75,2024.03,,,,,15,,,,,0,,
,12,10000,100001,110000,Elite Plus Used,,E,100,7132.88,5580.1,4623.11,3030.85,,,,,15,,,,,0,,
,12,10000,100001,110000,Elite Plus Used,,F,100,9127.85,7149.5,5933.03,3904.8,,,,,15,,,,,0,,
,12,10000,100001,110000,Elite Plus Used,,G,100,14305.22,11224.55,9327.14,6169.66,,,,,15,,,,,0,,
,12,10000,100001,110000,Elite Plus Used,,H,100,21328.08,16748.59,13931.57,9239.97,,,,,15,,,,,0,,
,12,10000,110001,120000,Elite Plus Used,,A,0,2423.21,,,,,,,,15,,,,,0,,
,12,10000,110001,120000,Elite Plus Used,,B,100,3435.26,2669.26,2198.02,,,,,,15,,,,,0,,
,12,10000,110001,120000,Elite Plus Used,,C,100,4417.11,3442.22,2843.34,,,,,,15,,,,,0,,
,12,10000,110001,120000,Elite Plus Used,,D,100,5415.28,4226.78,3495.61,2281.6,,,,,15,,,,,0,,
,12,10000,110001,120000,Elite Plus Used,,E,100,7994.14,6257.89,5187.8,3407.42,,,,,15,,,,,0,,
,12,10000,110001,120000,Elite Plus Used,,F,100,10224.85,8012.72,6652.48,4384.63,,,,,15,,,,,0,,
,12,10000,110001,120000,Elite Plus Used,,G,100,16014.0,12569.31,10447.68,6917.13,,,,,15,,,,,0,,
,12,10000,110001,120000,Elite Plus Used,,H,100,23866.75,18746.1,15596.2,10350.2,,,,,15,,,,,0,,
,12,10000,120001,130000,Elite Plus Used,,A,0,2695.72,,,,,,,,15,,,,,0,,
,12,10000,120001,130000,Elite Plus Used,,B,100,3814.75,2967.77,2446.78,,,,,,15,,,,,0,,
,12,10000,120001,130000,Elite Plus Used,,C,100,4900.4,3822.46,3160.27,,,,,,15,,,,,0,,
,12,10000,120001,130000,Elite Plus Used,,D,100,6003.99,4689.94,3881.45,2539.19,,,,,15,,,,,0,,
,12,10000,120001,130000,Elite Plus Used,,E,100,8855.4,6935.64,5752.48,3783.94,,,,,15,,,,,0,,
,12,10000,120001,130000,Elite Plus Used,,F,100,11321.86,8875.93,7371.96,4864.43,,,,,15,,,,,0,,
,12,10000,120001,130000,Elite Plus Used,,G,100,17722.8,13914.06,11568.22,7664.55,,,,,15,,,,,0,,
,12,10000,120001,130000,Elite Plus Used,,H,100,26405.38,20743.63,17260.85,11460.45,,,,,15,,,,,0,,
,12,10000,130001,140000,Elite Plus Used,,A,0,2968.25,,,,,,,,15,,,,,0,,
,12,10000,130001,140000,Elite Plus Used,,B,100,4194.22,3266.32,2695.5,,,,,,15,,,,,0,,
,12,10000,130001,140000,Elite Plus Used,,C,100,5383.63,4202.65,3477.19,,,,,,15,,,,,0,,
,12,10000,130001,140000,Elite Plus Used,,D,100,6592.71,5153.04,4267.33,2796.73,,,,,15,,,,,0,,
,12,10000,130001,140000,Elite Plus Used,,E,100,9716.66,7613.39,6317.16,4160.48,,,,,15,,,,,0,,
,12,10000,130001,140000,Elite Plus Used,,F,100,12418.85,9739.15,8091.41,5344.28,,,,,15,,,,,0,,
,12,10000,130001,140000,Elite Plus Used,,G,100,19431.57,15258.82,12688.78,8411.99,,,,,15,,,,,0,,
,12,10000,130001,140000,Elite Plus Used,,H,100,28944.02,22741.12,18925.46,12570.69,,,,,15,,,,,0,,
,12,10000,140001,150000,Elite Plus Used,,A,0,3240.8,,,,,,,,15,,,,,0,,
,12,10000,140001,150000,Elite Plus Used,,B,100,4573.7,3564.85,2944.28,,,,,,15,,,,,0,,
,12,10000,140001,150000,Elite Plus Used,,C,100,5866.9,4582.87,3794.13,,,,,,15,,,,,0,,
,12,10000,140001,150000,Elite Plus Used,,D,100,7181.43,5616.19,4653.18,3054.31,,,,,15,,,,,0,,
,12,10000,140001,150000,Elite Plus Used,,E,100,10577.92,8291.19,6881.85,4537.02,,,,,15,,,,,0,,
,12,10000,140001,150000,Elite Plus Used,,F,100,13515.83,10602.38,8810.92,5824.09,,,,,15,,,,,0,,
,12,10000,140001,150000,Elite Plus Used,,G,100,21140.38,16603.56,13809.32,9159.43,,,,,15,,,,,0,,
,12,10000,140001,150000,Elite Plus Used,,H,100,31482.7,24738.61,20590.09,13680.94,,,,,15,,,,,0,,
,12,15000,60001,70000,Elite Plus Used,,A,0,1528.46,,,,,,,,9,,,,,0,,
,12,15000,60001,70000,Elite Plus Used,,B,0,2187.51,1687.74,,,,,,,9,,,,,0,,
,12,15000,60001,70000,Elite Plus Used,,C,100,2828.2,2193.0,1801.25,,,,,,9,,,,,0,,
,12,15000,60001,70000,Elite Plus Used,,D,100,3479.91,2705.59,2227.76,,,,,,9,,,,,0,,
,12,15000,60001,70000,Elite Plus Used,,E,100,5162.26,4029.1,3331.63,2176.52,,,,,9,,,,,0,,
,12,15000,60001,70000,Elite Plus Used,,F,100,6619.43,5175.08,4287.25,2808.09,,,,,9,,,,,0,,
,12,15000,60001,70000,Elite Plus Used,,G,100,10397.85,8148.01,6764.06,4459.31,,,,,9,,,,,0,,
,12,15000,60001,70000,Elite Plus Used,,H,100,15521.77,12180.88,10125.09,6701.8,,,,,9,,,,,0,,
,12,15000,60001,70000,Elite Plus Used,,A,0,1728.4,,,,,,,,15,,,,,10,,
,12,15000,60001,70000,Elite Plus Used,,B,0,2465.65,1906.54,,,,,,,15,,,,,10,,
,12,15000,60001,70000,Elite Plus Used,,C,100,3182.43,2471.8,2033.52,,,,,,15,,,,,10,,
,12,15000,60001,70000,Elite Plus Used,,D,100,3911.48,3045.2,2510.68,,,,,,15,,,,,10,,
,12,15000,60001,70000,Elite Plus Used,,E,100,5793.52,4525.86,3745.57,2453.33,,,,,15,,,,,10,,
,12,15000,60001,70000,Elite Plus Used,,F,100,7423.66,5807.86,4814.6,3159.89,,,,,15,,,,,10,,
,12,15000,60001,70000,Elite Plus Used,,G,100,11650.55,9133.68,7585.44,5007.11,,,,,15,,,,,10,,
,12,15000,60001,70000,Elite Plus Used,,H,100,17382.68,13645.22,11345.41,7515.8,,,,,15,,,,,10,,
,12,15000,70001,80000,Elite Plus Used,,A,0,1806.74,,,,,,,,9,,,,,0,,
,12,15000,70001,80000,Elite Plus Used,,B,100,2575.6,1993.44,1636.49,,,,,,9,,,,,0,,
,12,15000,70001,80000,Elite Plus Used,,C,100,3324.33,2582.91,2127.11,,,,,,9,,,,,0,,
,12,15000,70001,80000,Elite Plus Used,,D,100,4082.22,3179.7,2623.17,1698.71,,,,,9,,,,,0,,
,12,15000,70001,80000,Elite Plus Used,,E,100,6046.46,4724.74,3910.12,2557.29,,,,,9,,,,,0,,
,12,15000,70001,80000,Elite Plus Used,,F,100,7743.46,6061.11,5024.97,3298.69,,,,,9,,,,,0,,
,12,15000,70001,80000,Elite Plus Used,,G,100,12149.75,9526.48,7913.68,5226.35,,,,,9,,,,,0,,
,12,15000,70001,80000,Elite Plus Used,,H,100,18124.92,14229.34,11831.22,7840.48,,,,,9,,,,,0,,
,12,15000,70001,80000,Elite Plus Used,,A,0,2039.66,,,,,,,,15,,,,,10,,
,12,15000,70001,80000,Elite Plus Used,,B,100,2899.81,2248.56,1849.23,,,,,,15,,,,,10,,
,12,15000,70001,80000,Elite Plus Used,,C,100,3737.4,2908.0,2398.05,,,,,,15,,,,,10,,
,12,15000,70001,80000,Elite Plus Used,,D,100,4585.23,3575.63,2953.04,1918.83,,,,,15,,,,,10,,
,12,15000,70001,80000,Elite Plus Used,,E,100,6782.65,5304.07,4392.72,2879.31,,,,,15,,,,,10,,
,12,15000,70001,80000,Elite Plus Used,,F,100,8681.07,6799.03,5639.91,3708.71,,,,,15,,,,,10,,
